file_id,stage,flag,value,detail
esc50_laughter_cheering_4e108347,normalize,clipping,0.008816,0.882% đoạn cắt phẳng — nghe kiểm tra
desed_object_drop_dishes_fcaa3d1c,normalize,clipping,0.007762,0.776% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_ac22151d,normalize,clipping,0.006045,0.605% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_0a7ba8bb,normalize,clipping,0.005837,0.584% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_d3165c02,normalize,clipping,0.005397,0.540% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_64e6f858,normalize,clipping,0.004617,0.462% đoạn cắt phẳng — nghe kiểm tra
desed_alarm_bell_ac76986a,normalize,clipping,0.003395,0.340% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_9a8b1499,normalize,clipping,0.002698,0.270% đoạn cắt phẳng — nghe kiểm tra
esc50_siren_e4c640a0,normalize,clipping,0.002635,0.263% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_b2d5c158,normalize,clipping,0.002150,0.215% đoạn cắt phẳng — nghe kiểm tra
esc50_siren_012cf9bf,normalize,clipping,0.002109,0.211% đoạn cắt phẳng — nghe kiểm tra
desed_object_drop_dishes_19dfc39d,normalize,clipping,0.001742,0.174% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_91ad8339,normalize,clipping,0.001537,0.154% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_ebb61152,normalize,clipping,0.001438,0.144% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_8f8f7c9c,normalize,clipping,0.001424,0.142% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_a34f340f,normalize,clipping,0.001415,0.141% đoạn cắt phẳng — nghe kiểm tra
esc50_laughter_cheering_de5e5960,normalize,clipping,0.001410,0.141% đoạn cắt phẳng — nghe kiểm tra
esc50_siren_4918f7e9,normalize,clipping,0.001161,0.116% đoạn cắt phẳng — nghe kiểm tra
esc50_fireworks_53e46153,normalize,clipping,0.001125,0.112% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_973df7c6,normalize,clipping,0.001120,0.112% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_8b402796,normalize,clipping,0.001088,0.109% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_c2605d58,normalize,clipping,0.001079,0.108% đoạn cắt phẳng — nghe kiểm tra
esc50_alarm_bell_ecb38a81,normalize,clipping,0.001070,0.107% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_46f3c4f2,normalize,clipping,0.009428,0.943% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_4489c122,normalize,clipping,0.009209,0.921% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_92efdb0d,normalize,clipping,0.008725,0.873% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_6f4d0ae4,normalize,clipping,0.008022,0.802% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_d139816b,normalize,clipping,0.007909,0.791% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_4004a5bc,normalize,clipping,0.007906,0.791% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_bf5e7070,normalize,clipping,0.007742,0.774% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_b2d3295f,normalize,clipping,0.007366,0.737% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_siren_711d7c78,normalize,clipping,0.006207,0.621% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_siren_cb90186e,normalize,clipping,0.006207,0.621% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_87aff86c,normalize,clipping,0.006094,0.609% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_56850f1e,normalize,clipping,0.005698,0.570% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_f3113624,normalize,clipping,0.005106,0.511% đoạn cắt phẳng — nghe kiểm tra
urbansound8k_gunshot_ea9a3b29,normalize,clipping,0.005048,0.505% đoạn cắt phẳng — nghe kiểm tra
